dataset_name,dataset_name_orig,EXE_M,EXE_G,CatDB,CatDBChain,CAAFETabPFN,CAAFERandomForest,CatDB_min,CatDBChain_min,CAAFETabPFN_min,CAAFERandomForest_min,CatDB_10_min,CatDBChain_10_min,CAAFETabPFN_10_min,CAAFERandomForest_10_min,dataset_load_time,llm_model,has_description,task_type,task,samples
oml_dataset_22_rnc,Bike-Sharing,0,0,25.47,0,0,0,0.42,0.001,0.001,0.001,4.25,0.001,0.001,0.001,0.723,llama-3.1-70b-versatile,No,regression,regression,0
oml_dataset_22_rnc,Bike-Sharing,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.723,gpt-4o,No,regression,regression,0
oml_dataset_23_rnc,House-Sales,0,0,49.84,111.25,0,0,0.83,1.85,0.001,0.001,8.31,18.54,0.001,0.001,0.815,gemini-1.5-pro-latest,No,regression,regression,0
oml_dataset_23_rnc,House-Sales,0,0,174.58,0,0,0,2.91,0.001,0.001,0.001,29.10,0.001,0.001,0.001,0.815,llama-3.1-70b-versatile,No,regression,regression,0
oml_dataset_23_rnc,House-Sales,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.815,gpt-4o,No,regression,regression,0
oml_dataset_24_rnc,NYC,0,0,557.53,5864.35,0,0,9.29,97.74,0.001,0.001,92.92,977.39,0.001,0.001,1.337,gemini-1.5-pro-latest,No,regression,regression,0
oml_dataset_24_rnc,NYC,0,0,81.83,0,0,0,1.36,0.001,0.001,0.001,13.64,0.001,0.001,0.001,1.337,llama-3.1-70b-versatile,No,regression,regression,0
oml_dataset_24_rnc,NYC,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.337,gpt-4o,No,regression,regression,0
oml_dataset_35_rnc,Volkert,0,0,67.15,0,0,2877.82,1.12,0.001,0.001,47.96,11.19,0.001,0.001,479.64,2.189,gemini-1.5-pro-latest,No,multiclass,classification,0
oml_dataset_35_rnc,Volkert,0,0,73.92,0,0,0,1.23,0.001,0.001,0.001,12.32,0.001,0.001,0.001,2.189,llama-3.1-70b-versatile,No,multiclass,classification,0
oml_dataset_35_rnc,Volkert,0,0,0,0,0,2606.33,0.001,0.001,0.001,43.44,0.001,0.001,0.001,434.39,2.189,gpt-4o,No,multiclass,classification,0
Yelp,Yelp-MG,584.36,2477.39,0,0,0,0,0,0,0,0,-1,-1,0,0,-1.0,gemini-1.5-pro-latest,No,multiclass,classification,0
EU-IT,EU-IT-MG,4.45,1.42,0,0,0,0,0,0,0,0,-1,-1,0,0,-1.0,gemini-1.5-pro-latest,No,multiclass,classification,0
Etailing,Etailing-MG,1.59,1.73,0,0,0,0,0,0,0,0,-1,-1,0,0,-1.0,gemini-1.5-pro-latest,No,multiclass,classification,0
Midwest-Survey,Midwest-Survey-MG,1.75,1.39,0,0,0,0,0,0,0,0,-1,-1,0,0,-1.0,gemini-1.5-pro-latest,No,multiclass,classification,0
WiFi,WiFi-MG,0.82,0.77,0,0,0,0,0,0,0,0,-1,-1,0,0,-1.0,gemini-1.5-pro-latest,No,binary,classification,0
Utility,Utility-MG,4.20,3.75,0,0,0,0,0,0,0,0,-1,-1,0,0,-1.0,gemini-1.5-pro-latest,No,regression,regression,0
